Date,Sip,Russel,Djia,Nasdaq
1987-12-23,,,,
1987-12-24,-0.004473591630304965,0.0065183860757327215,-0.0029810303487579383,0.0051151366811755545
1987-12-28,-0.02596605659701902,-0.021531203299354734,-0.02876447364025092,-0.02307329375118926
1987-12-29,-0.003998744491034359,-0.0058996967679324774,-0.008310403271419875,-0.00030719090727960246
1987-12-30,0.013280751682233046,0.010092575027968507,0.01197332896708954,0.012820724825785175
1987-12-31,-0.003151895749021093,0.007669244056199511,-0.005795965340969622,0.002423472817331925
1988-01-04,0.03523087090153859,0.02525554064026707,0.03865858151754594,0.02391743306058872
1988-01-05,0.01045543839879905,0.021071941246085843,0.008031179264071198,0.016408237887896505
1988-01-06,0.0010048307768938452,0.006873989144473464,0.003096382157942455,0.0075275570628076365
1988-01-07,0.0083852784106821,0.008077517188826957,0.00689044888320746,0.008615791081423043
1988-01-08,-0.07008244150751057,-0.03327422610574345,-0.07097236578216716,-0.032551586032127135
1988-01-11,0.01666404145226609,-0.010716120062898817,0.01753991374901442,-0.006817835684775215
1988-01-12,-0.008399176955805302,-0.01058466497393439,-0.008560364829721868,-0.01257128775106598
1988-01-13,0.0015878512514180788,0.000577248177231759,-0.0019827628528171254,0.002106250176472167
1988-01-14,0.00028476072340659093,0.0039492892868256595,-0.0044886064252721795,0.004498432974974776
1988-01-15,0.024783860057108788,0.015400581612995597,0.020640249341133243,0.017500057587084193
1988-01-18,-0.0006746889597757862,0.0030680227397119546,0.00397458597080769,0.0011754159345473251
1988-01-19,-0.010215563454247135,0.0031389537798321406,-0.014112340946933316,-0.0002937465166701316
1988-01-20,-0.02719957019861964,-0.021771777562307637,-0.02998534235582641,-0.019878957355125675
1988-01-21,0.0020997351963937634,-0.0010682855737539692,9.048623595784793e-05,0.0017963358123791642
1988-01-22,0.013724588467953724,0.009491962351029861,0.012794835969529645,0.009823022964163389
1988-01-25,0.022741461829685606,0.007221997522704997,0.02230761987317158,0.008553345095253292
1988-01-26,-0.010363990300281876,-0.0034827719163124447,-0.013374762634621583,-0.0038251862944611898
1988-01-27,-0.0007616073939854311,0.0009731814776683412,-0.0049324823023227556,0.001767234627833855
1988-01-28,0.015557192095048543,0.0075904353143458675,0.009840817800735707,0.007622452821282459
1988-01-29,0.01481339886586242,0.007453450774052224,0.014495134240188888,0.006694881591477435
1988-02-01,-0.007928080423899196,0.0038253393946848444,-0.006964152354806823,0.0043421690684534745
1988-02-02,0.0020760039574396556,0.0017483990576238815,0.0042539807814632805,0.002884339944253251
1988-02-03,-0.013234270542650924,-0.004456517022613553,-0.014623172858426525,-0.010131798578449583
1988-02-04,0.0,0.0010363506887789246,-0.0005197316368819983,0.0029052895657428277
1988-02-05,-0.004968509794650047,0.0020693655986587472,-0.0068282975513025545,0.0031860302113497084
1988-02-08,-0.007439145420466945,-0.004063225141943001,-0.007755810613044103,-0.0037664480933362453
1988-02-09,0.010462916276554013,0.002073491460147603,0.009836879857415383,0.0014503265776464615
1988-02-10,0.01943490476973445,0.01298108297483112,0.024549190010391343,0.012386700427002757
1988-02-11,-0.002770166218582258,0.006818436148383955,-0.0002548692738604411,0.004855106007503389
1988-02-12,0.006542365301756256,0.009174438262082675,0.01101206155953279,0.006531296933764616
1988-02-16,0.00850305449403908,0.00532583557767535,0.01138575937834024,0.003954875211351915
1988-02-17,-0.0023890117183968354,0.002460458000851578,-0.002485666746138906,0.0016900736417231224
1988-02-18,-0.005027806896202835,0.002684199543007784,-0.007313046542096946,0.000844051259934847
1988-02-19,0.014244085451123554,0.005041943396324043,0.014086677324485757,0.00420935088977863
1988-02-22,0.015287277325038845,0.008649515525409655,0.012676289857748374,0.008088160047736801
1988-02-23,-0.002336811809722987,0.0011326136630484343,-0.000573633943306721,0.0030509134491521943
1988-02-24,-0.002228713813488291,0.00676842467529495,0.00040693394447277484,0.005523350045355546
1988-02-25,-0.010836425153683564,0.004412354430375078,-0.011031483530003331,0.0013760838603103101
1988-02-26,0.0033585408141845407,0.001193250974430216,0.002791549548556674,-0.0005502393536351373
1988-02-29,0.02021648402717697,0.014282316046732626,0.023645626621775644,0.009857708603231666
1988-03-01,-0.0022428463013946685,0.0011748349083160455,-0.0005553457337358139,0.0008170721002094072
1988-03-02,0.0028400990053176777,0.008040435218393035,0.0003959997724332361,0.008404566418540387
1988-03-03,-0.00037325420137736677,0.0028352241636639074,-0.0037729011932716872,0.0043103676998264
1988-03-04,-0.0021675594554290585,0.0022479107558504266,-0.0027320593346119785,0.0037563607659164243
1988-03-07,0.00029930800345974066,0.00721712149971632,-0.0007243104950464044,0.0029415879182111866
1988-03-08,0.007637704115239669,0.009305077550960566,0.011939867807723966,0.0063880813964733284
1988-03-09,-0.0013741947460829689,0.009078062343999141,-0.0032729229984457503,0.008980499026429525
1988-03-10,-0.01959155197352548,-0.008009995149958,-0.023531066663974448,-0.009245872525103449
1988-03-11,0.00416054915440939,0.0005691996066974841,0.004407753475292138,-0.00345603965088422
1988-03-14,0.005382908136468002,0.0017766412455390182,0.007387991070076994,0.0031906753493935415
1988-03-15,-0.0009013709530469336,0.0007098162034831872,-0.0012983757370231316,-0.0002655143985075734
1988-03-16,0.009424464852522973,0.006858799944012939,0.008225310960985983,0.005032440722428111
1988-03-17,0.009520908505904313,0.005481376925558114,0.010466643243492873,0.005795622031830241
1988-03-18,-0.0003687944900653415,0.00021021687954280287,0.0006374058601074309,0.0023612603880679268
1988-03-21,-0.008817176620201433,-0.005339298750466299,-0.009738998751191389,-0.007892700674318881
